同位	-5233.09716796875
激电	-5225.18994140625
延拓	-5132.9033203125
判据	-5090.46240234375
西北地区	-5048.705078125
矿远	-5037.779296875
压实	-5029.7412109375
古陆	-4903.6796875
井仪	-4635.1787109375
控矿	-4472.859375
近系	-4097.5849609375
博格达	-4072.97119140625
填埋场	-3676.908447265625
哈拉军	-3589.82373046875
傅里叶	-3481.668212890625
鲁克塔	-3198.116943359375
张量	-3029.038818359375
莫霍面	-3013.63818359375
干体	-2908.88916015625
期次	-2772.322265625
质谱	-2765.8466796875
潜孔	-2757.54736328125
巨晶	-2725.382080078125
滑面	-2681.406494140625
盖层	-2637.92626953125
分频	-2612.085205078125
泥盆	-2574.534912109375
丹巴	-2556.2578125
成藏	-2540.9091796875
触探	-2508.77197265625
相色谱	-2495.30322265625
锡多	-2381.80126953125
马尔柯夫	-2351.4853515625
原岩	-2180.56787109375
孔隙率	-2065.490478515625
乌尔逊	-2052.6435546875
温梯度	-1790.65234375
分析法	-1753.171630859375
埃洛石	-1694.644287109375
退耕	-1671.569580078125
可视化	-1669.323974609375
管涌	-1664.8594970703125
基性	-1567.5262451171875
金红石	-1522.1279296875
安山岩	-1511.676025390625
济阳	-1490.26123046875
丹霞	-1459.7686767578125
濮城	-1449.71826171875
南堡	-1449.502685546875
滑断层	-1432.155029296875
雷波	-1427.736328125
流场	-1427.60498046875
质体	-1426.7545166015625
桩基	-1416.4638671875
岩性	-1416.05322265625
武隆	-1413.560546875
轻质	-1404.9873046875
红层	-1400.82421875
胶结	-1400.569091796875
结壳	-1399.9183349609375
落柱	-1362.5716552734375
英脉	-1361.875244140625
沸石	-1352.271240234375
中强	-1351.78125
巴楚	-1337.7918701171875
塌岸	-1330.395751953125
左旋	-1323.754150390625
频散	-1294.8775634765625
录井	-1293.3792724609375
孔虫	-1285.12890625
陆冲	-1283.804931640625
坡面	-1277.8662109375
断陷	-1274.787841796875
东辛	-1269.945068359375
塔巴	-1240.47900390625
鄂博	-1220.17333984375
英吉苏	-1198.856689453125
差分	-1138.6021728515625
奥陶世	-1126.9693603515625
山群	-1125.639892578125
离层	-1099.998046875
双峰式	-956.76123046875
库鲁克塔格	-942.2991943359375
哈尔里	-880.8626708984375
卡林型	-844.052978515625
退火算法	-810.7719116210938
陆冲断	-778.0972290039062
陷性	-770.7123413085938
斯特石	-768.0374145507812
热泉	-758.66455078125
实度	-758.587890625
序界	-741.0043334960938
斜长	-740.025390625
粉质	-739.561767578125
苏鲁造	-739.2481689453125
安岩	-733.3643798828125
母质	-718.974853515625
鄂尔多斯盆地	-716.0189208984375
卡林	-701.820068359375
动面	-697.9080810546875
西坳	-697.017578125
海山	-694.5965576171875
充水	-693.05224609375
古宙	-690.257080078125
流圈	-674.3759765625
铝质	-671.3137817382812
铁岩	-667.5003051757812
浅成	-654.8893432617188
贯入	-651.8541870117188
山东半岛	-649.3927612304688
纳木	-649.323486328125
低阻	-645.11865234375
鲁西	-638.9649047851562
苏锡常	-636.1387939453125
奥陶统	-626.35205078125
叠合	-624.620849609375
分带	-622.745361328125
成岩成	-612.8047485351562
加载	-606.1724243164062
管桩	-602.7396240234375
前陆	-601.6219482421875
滑脱	-600.7682495117188
反褶	-597.0555419921875
阿尔奇	-588.5247802734375
渤海湾盆地	-587.9680786132812
岩储	-586.0824584960938
隙水	-578.433837890625
姚家组	-533.5512084960938
油气性	-527.7530517578125
江平原	-502.66546630859375
均匀性	-481.3217468261719
水源地	-475.51312255859375
有利区	-462.42974853515625
浸砂岩型	-445.8170166015625
西霞院	-445.4823913574219
喀斯特石	-442.120849609375
大地电磁测	-440.64459228515625
贝叶斯	-421.5997314453125
采空区	-418.5645446777344
侵位	-392.6444091796875
时域	-392.24847412109375
拉格朗	-389.7491760253906
红河	-389.0413818359375
金成矿	-388.6883544921875
侧限	-382.5936279296875
克立格	-381.176025390625
维数	-378.080810546875
构烷	-373.2138671875
白石泉	-369.6365966796875
西缘	-368.98577880859375
沙脊	-368.5789794921875
拉西瓦	-364.57720947265625
蒙脱石	-364.1902160644531
释光测	-362.6086120605469
捕虏	-362.32000732421875
调蓄	-359.519775390625
陆块	-358.3497619628906
生界	-357.504638671875
热解	-353.389892578125
承压	-350.1995849609375
裂陷	-349.8758850097656
格栅	-348.92510986328125
库岸	-347.2256164550781
混溶	-347.0815734863281
沉桩	-342.78118896484375
地籍	-342.75140380859375
浮选	-341.8519287109375
脱气	-340.30841064453125
纹层	-339.966064453125
基桩	-339.8052978515625
正长	-333.777587890625
管波	-333.7261047363281
岩岩	-333.1850891113281
样条	-328.06085205078125
中新	-327.54376220703125
冲断	-321.863037109375
示踪	-321.23638916015625
充填	-320.328857421875
氢氧	-317.1064758300781
磁测	-315.8878479003906
均质	-315.8796691894531
迭代	-313.80816650390625
波法	-306.263671875
井眼	-302.9477844238281
强夯	-302.642333984375
取心	-302.0649108886719
层位	-301.74395751953125
孔桩	-299.5552673339844
松潘	-298.20635986328125
受力	-294.13568115234375
储集	-293.64862060546875
盾构	-293.1844787597656
阿尔泰造山	-293.03485107421875
蠕变	-291.1581115722656
江汉盆地	-289.79766845703125
别造山	-285.0633544921875
机碳	-282.98779296875
细观	-277.8408203125
软土	-270.51983642578125
科维奇	-259.3823547363281
柴窝堡	-248.13143920898438
节水型	-245.3099365234375
沉积型	-244.14199829101562
危险度	-237.7822265625
粘聚力	-234.14004516601562
逆作法	-229.719970703125
组件式	-221.5654754638672
山西组	-221.11337280273438
祁连造山	-218.54356384277344
鲜水河	-216.96112060546875
沉积层	-216.59170532226562
隐蔽圈	-214.11996459960938
平衡法	-213.31689453125
柯坪塔	-212.74490356445312
可靠度	-208.36715698242188
达克岩	-203.86331176757812
偏应力	-197.98312377929688
主应力	-197.16493225097656
结度	-196.5373077392578
高斯	-196.52183532714844
西藏自治区	-190.86647033691406
积体	-190.63507080078125
凝剂	-190.52630615234375
尼勒克	-189.37753295898438
衬砌	-186.4644775390625
熔体	-184.00094604492188
石层	-182.862548828125
格林	-182.36212158203125
煤体	-181.059326171875
活度	-179.83261108398438
瑞利	-179.74057006835938
闪岩	-178.83798217773438
饶阳	-178.39376831054688
印支期	-178.34439086914062
子体	-176.74923706054688
化度	-176.36453247070312
咸水	-176.12278747558594
序格	-175.54977416992188
陷湖	-174.97994995117188
南洼	-174.90704345703125
流纹	-174.73602294921875
长岩	-174.40835571289062
阿尔奇公式	-174.0742645263672
幔源	-172.90896606445312
相断	-172.52218627929688
北京地区	-172.0744171142578
乌什	-171.3336181640625
主压	-170.96495056152344
石叶	-170.8708038330078
管棚	-170.08343505859375
变场	-170.01171875
田岭	-169.4129638671875
钙质	-168.80081176757812
潮滩	-168.55780029296875
致裂	-168.06002807617188
挤密	-167.9705810546875
高放	-166.6798858642578
水岩	-165.00552368164062
固井	-164.8140869140625
尾矿	-162.3349151611328
介电	-162.2809600830078
曲流河三角洲	-161.83999633789062
