军事贸易	军贸
处置突发事件任务	处突任务
遗失	丢失
待命全权大使	大使
干部考核	干部考评
电子战支援	电子对抗支援侦察
强雷暴	强风暴
海域	海洋区域
专门档案	专业档案
人民防空警报	人防警报
联合后勤	联勤
人代会	人大
假币	假钞
非法行为	违法犯罪行为
小钱柜	小金库
军事运筹理论	军事运筹学
无偿献血	献血
观看淫秽影视	观看淫秽物品
党的三大作风	三大作风
军地两用人才培养	两用人才培养
挂账	赊账
调拨价格	调拨价
反走私	打击走私
审定	审查
扶持贫困户	扶贫
兵力调动	部队调动
新寄生虫	工业间谍
铁道养护	铁路养护
化纤工业	化学纤维工业
反革命罪	危害国家安全罪
水产机械	渔业机械
大田作物	禾谷类作物
武装	武装力量
调防	部队调动
数字地面高程模型	数字高程模型
经济发展计划	国民经济计划
最有希望输出产业	环保产业
电子抗击干扰	反电子干扰
技术作物	经济作物
水下反射导弹	潜射导弹
植物散发	植物蒸腾
边界协定	边界条约
空中交通管制	空中管制
群众防卫	民防
圣战	宗教战争
申明书	声明
快讯	快报
共产土义精神	共产主义道德
军事经济	国防经济
中小企业	中小型企业
采盐业	制盐工业
全国人大常委会委员长	委员长
军用车	军用车辆
预备力量建设	后备力量建设
震害	地震灾害
都市绿化	城市绿化
常委	常务委员
整体保障	综合保障
军事法律制度	军事法制
国防精神	国防观念
薪金标淮	工资标准
交易合同	贸易合同
情况摘报	情况通报
常备军	正规军
政治协商会议	政协
提职	晋职
电子战支援措施	电子对抗支援侦察
干道	干线道路
分组交换公用数据网	公用分组交换网
体育工作队	体工队
地形测绘	地形测量
长途自动电话业务	长途直拨电话业务
土地使用	土地利用
企业倒闭	企业破产
直接营销	直销
农行	中国农业银行
经济处分	经济处罚
军控	军备控制
制作贩卖淫秽物品	制售淫秽物品
水保林	水土保持林
信贷计划管理体制	信贷资金管理体制
存贮设备	存储设备
专卖店	商店
供大于求	供过于求
人民武装	武装力量
安检	安全检查
城市防空袭	城市防空
共产主义精神	共产主义道德
运力	运输能力
航天飞行员训练	航天员训练
联大	联合国大会
营养液栽培	无土栽培
航空事故	飞行事故
七一党的生日	七一建党纪念日
军体活动	军事体育
运动卫生	体育卫生
接敌关系	内线
军事指挥机关	指挥机关
节约用水	节水
科技兴国	科教兴国战略
强制保险	法定保险
军事代表	军代表
专门款项	专款
四五事件(1976)	天安门事件(1976)
邮资	邮政资费
种	物种
仿真训练	模拟训练
组织沿革	组织史
武器装备配套	装备配套
中层人民法院	中级人民法院
四清运动	社教
移动野营训练	野营训练
观看	观摩
全面动员	总动员
军队营区	军事社区
运输业	交通运输业
作战情况	战况
科技服务业	技术服务业
捐献遗体	遗体捐献
赤道辐合区	热带辐合带
中共中央纪律检查委员会常务委员全体会议	中央纪委常委会议
精确度	精度
水能资源	水力资源
轻工机械	轻工业机械
医保	医疗保险
党员条件	党员标准
特种挂号信函	特挂信函
印染设备	印染机械
保险费用	保险费
防范犯罪	预防犯罪
软件设计	软件开发
战备储备粮	战备粮
技术交流	科技交流
函件	信件
军事发展史	军事史
国体	国家制度
西部	西部地区
解放军院校	军队院校
摄影器材	摄影设备
医学	医药学
审计建议	审计意见
边贸管理	边境贸易管理
提议	建议
禁运武器	武器禁运
行军式训练	野营训练
防空导弹	地空导弹
国外旅游	出国旅游
表格	表
患病率	发病率
军队发展史	军史
仪器仪表制造业	仪器仪表工业
联合国贸易和发展会议	联合国贸发会	联台国贸发会
港台合资经营企业	港澳合商企业
爱国卫生	卫生
卫生计划	卫生规划
民兵分队训练	民兵训练
国防理论、政策	国防战略
水利资源	水资源
优秀人民警察	优秀民警
精简调整	精简整编
政治局势动荡	政局动荡
目标顾客	目标用户
扶贫工作	扶贫
广播彩色电视	电视广播
细菌武器防护	生物武器防护
防卫驻在官	武官
流行性出血热	出血热
反恐战争	反恐怖战争
个体工商户	个体户
广播国际电视	电视广播
合伙企业	合伙制企业
冰球运动	冰球
自动翻译	机器翻译
军事制度	军制
光缆	通信光缆
武器采办	武器装备采购
文化网站	文化站
大米	稻米
证券营业部	证券公司营业部
百花齐放百家争鸣	双百方针
家政服务业	居民服务业
炒买炒卖外汇	外汇交易
国内贸易	商业
劳务出国	劳务输出
雹暴	强风暴
最大航程	航程
会见	会晤
施政演说	工作报告
中央纪律检查委员会	中纪委
洽谈	谈判
鞋帽制造业	鞋帽工业
裁减军备会议	裁军谈判
少年儿童读物	少儿读物
装修房屋	房屋装修
不可见度	能见度
七号公共信道信令方式	七号信令
火车头	机车
积压品	积压物资
软件产业	软件业
爱护人民	拥政爱民
虫灾	病虫害
土豆	马铃薯
党的纪律处分	党纪处分
航运资源	水运资源
浮动价格	浮动价
买卖	交易
技术发展规划	科技发展规划
伤病员转送	伤病员后送
武器装备订货	装备订货
冶炼设备	冶金设备
外商独资企业	外商企业
照像	摄影
行政严重警告	严重警告
增盈	盈余
特种车	特种车辆
军制、军队管理	安全制度
武力占领	军事占领
医药制造业	医药工业
双拥活动	双拥工作
医院设备	医院设施
国防开支	国防支出
防务决算	国防决算
公文解密	解除密级
漂流旅游	漂流
统支	统收统支
舰船补给作业	舰艇补给作业
民防工程	人防工程
教练飞机	教练机
大地网	大地控制网
统计表	统计报表
反雷达干扰	雷达反干扰
石油价格	油价
桑业	蚕桑业
麻醉品	麻醉剂
分组交换数据网	分组交换网
收容遣送	救助管理
吸收外资	利用外资
决议案	决议
冶金	冶金工业
电影文学	影视文学
文书制度	文书工作制度
地方戏剧	地方剧
雹	冰雹
散装货物运输	散货运输
放弃权力	弃权
社会主义教育活动	社会主义教育运动
核化生防护	核生化防护
武器效应试验	武器试验
植保植检	植物检疫
未利用土地	未利用地
军事决算	国防决算
中国作家协会代表大会	作代会
海上情况处置	海情处置
国家公证	公证
林火	森林火灾
慰劳	慰问
水工程	水利工程
洲际导弹部队	战略导弹部队
武器装备生产定型	武器装备定型
边境居民	边民
大气紊流	大气湍流
导弹类装备	导弹装备
避震疏散	避震撤离
股市	股票市场
作战成果	战果
非赢利性团体	非营利性团体
卫生机构	医药卫生机构
边境纠纷	边界争端
质量控制	质量管理
族游点	旅游景点
冰挂	雨凇
测雨雷达	气象雷达
霜降	二十四节气
涉外	涉外事务
零售价格	零售价
资本审核	验资
精简编制	精简整编
重型设备	大型设备
保健品	保健食品
军队编制序列	军队序列
原子武器防护	核武器防护
服装配件	服装饰品
污染物环境标准	排放标准
地区性战争	局部战争
二次虹	霓
信件办理	办信
作战指挥自动化	指挥自动化
人才合理流动	人才流动
公债	国债
贸易合约	贸易合同
犯法	违法行为
江河地区防御战役	防御战役
减轻负担	减负
兵役制	兵役制度
武装占领	军事占领
台独	台独问题
行政记过	记过
骨干项目工程	骨干工程
农林特产税	农业特产税
市话	市内电话
保费	保险费
作战损耗	作战消耗
反腐败	反腐败斗争
航空部队通信	航空兵通信
形势任务教育	形势教育
工业配置	工业布局
托管	委托管理
气象预报	天气预报
露营训练	野营训练
防卫政策	国防政策
执法工作	执法
牧业	畜牧业
矿业	采矿业
核心要素数字线划地图数据库	地图数据库
军事科研课题	军事科研项目
军事教育影片	军教影片
邮件安全检查	邮检
干部质量	干部素质
武器装备展览	装备展览
导弹兵通信	导弹部队通信
宇航业	航天工业
全国人民代表大会常务委员会委员	全国人大常委
科学技术动员	科技动员
直燃式空调	燃气空调
渔业资源保护	水产资源保护
农副产品贸易	农贸
经济体制改革委员会	体改委
民企	民营企业
政治纪律	政纪
流动展览	巡回展览
直接电子对抗侦察	电子对抗支援侦察
无线电电子斗争	电子对抗
露点温度	露点
讲演	演说
技术研究	科研
轻兵器	轻武器
荣誉勋章	勋章
常务委员会委员	常务委员
城市高速道	城市高速公路
机要机构	机要部门
诈骗犯罪	诈骗
军地两用人才	两用人才
雹子	冰雹
情报语言	检索语言
军事科学研究工作	军事科研
城市热岛效应	热岛效应
国家动员体制	动员体制
邮件总包	总包邮件
警报信号	警报
粮食储藏	粮食储备
杂志	期刊
车队总员额	军队总人数
计算机工业	电子计算机工业
违反纪律	违纪行为
现地指挥	现场指挥
中继	中继方式
清除六害	打击犯罪
考察	视察
军品储备	军用物资储备
国际经济合作组织	国际经济组织
航运	水路运输
造船业	船舶工业
物流	物资流通
物资需要	物资需求
领馆	领事馆
资金信托计估	资信评估
皮革毛皮制品业	皮革工业
捐税	税收
电视传输网	传输网
搬运机械	装卸机械
企业精神	企业文化
卧铺客车	客车
账本	账簿
归国华侨联合会	侨联
信息检索	检索
中共中央纪律检查委员会全体会议	中央纪委全会
对外广播	国际广播
有意干扰	电子干扰
拳头产品	名牌产品
微生物工程	发酵工程
工业技术标准	工业标准
经济赔偿	赔偿
制帽业	鞋帽工业
防务政策	国防政策
作战成绩	战绩
容积	容量
水华	赤潮
暴雪	雪暴
运输价	运输价格
党的对外联络工作	党的外联工作
驾机投诚	驾机起义
外事	外事工作
军队纪律	军纪
航空模型	航模
军事科研部门	军事科研机构
竹简	竹木简
保额	保险金额
跨线桥	立交桥
军事司法工作	军事司法
移动式地球站	车载地球站
人工控制天气	人工影响天气
林彪反革命集团	林彪反党集团
科学知识	科技知识
海岸带	海岸
行政机构	行政部门
巡逻勤务	巡逻
水产	水产品
传真通信业务	传真业务
碧空	晴天
无产阶级专政	人民民主专政
战备程度	战备状态
海外贸易	对外贸易
火箭兵部队通信	导弹部队通信
交通用地	交通运输用地
体育道德	体育伦理
四化	四个现代化
民兵军事训练	民兵训练
林木采伐	采伐
轻工	轻工业
文教体育用品制造业	文体用品工业
来访	访问
地对地战略导弹部队	战略导弹部队
中国共产党第十一届中央委员会第三次全体会议	党的十一届三中全会
准静止锋	静止锋
舶船翻沉事故	沉船事故
公汽	公共汽车
国联	国际联盟
违反政纪	违反政治纪律
舰船叛逃	舰船外逃
江河水网地区防御战役	防御战役
检察人员	检察员
暴力性案件	暴力事件
装备现代化	武器装备现代化
脉码调制多路复用设备	数字复用设备
传送	传输
人员疏散	人口疏散
电信交换	通信交换
极地气团入侵	寒潮
ISM规则	国际安全管理规则
中国人民政治协商会议全国委员会主席办公会	全国政协主席办公会议
船舶翻沉事故	沉船事故
定区征集	定向征集
蜂业	养蜂业
战场工程准备	战场工程建设
自治县人民法院	基层人民法院
赋税	税种
勤务部署	执勤部署
田赋	农业税
汽车制造业	汽车工业
第三产业增加值	非农业人口
文件清点	保密检查
划区域征集	划区征集
大陆棚	大陆架
军兵种装备储备	军兵种储备
科技档案管理学	档案管理学
部队储备	军队储备
电信设备	通信设备
国际复兴开发银行	世界银行
社会生产	生产
国际奥林匹克委员会	国际奥委会
定购	订购
分组交换节点机	分组交换机
战争经济	国防经济
专用列车	专列
邮运费率	邮政运输费率
旧约	圣经
战争动员体制	动员体制
三废	废物
商业界	商界
地方性疾病	地方病
游民	牧民
搜寻救助	搜救
农村集市贸易	集市贸易
武装追捕勤务	武装追捕
澳门特区	澳门特别行政区
工业污水	工业废水
铃记	印信
少数民族医药学	民族医药学
劳动生产率	生产率
第一审案件	一审案件
国防动员	战争动员
宇宙观	世界观
耶稣教	新教
播音用语	广播电视用语
国防总动员	总动员
滥伐	乱砍滥伐
东风波	东风带波动
武装干预	武装干涉
军官退役安置	退役安置
医疗失误	医疗差错
降落	着陆
国资	国有资产
第三世界	发展中国家
乱收费乱摊派乱罚款	三乱
可利用性	可用性
乘警(铁路)	铁路警察
护理人员	护士
掠夺性战争	侵略战争
航天站	空间站
台湾独立问题	台独问题
卫生法制	卫生法规
技术进口	技术引进
台湾回归祖国问题	和平统一问题
国际联合会	国际联盟
空中交通管制建设	空管建设
安慰	抚恤
消毒用品	消毒剂
中央纪律检查委员会委员	中纪委委员
航天员	航天飞行员
舰艇探测	舰船探测
赠送	赠予
技术交易	技术贸易
边境地区民兵	边防民兵
军事援助协定	军援协定
村队企业	乡镇企业
拼音字母	汉语拼音字母
扶持贫困地区	扶贫
移用	挪用
军事使团	军事代表团
计算机软件	软件
送变电	输变电
古气候	地质时期气候
武器装备发展计划	武器装备发展规划
货运船	货船
军队体育工作队	体工队
军事当局	军事机关
兵学	军事科学
中央书记处办公会议	书记处会议
马克思列宁主义军事理论	马列主义军事理论
放火案件	放火案
普及法律常识教育	普法教育
政治体制	政治制度
古汉语	古代汉语
邪教	邪教组织
中央军事委员会主席	军委主席
工商协作	工商关系
中共中央工作会议	中央工作会议
中国人民政治协商会议全国委员会主席会议	全国政协主席会议
住宅	住房
店铺	商店
开埠通商	通商口岸
战略通讯	战略通信
气象火箭探空	气象火箭探测
清除出党	开除党籍
养鱼	鱼类养殖
副食品加工	副食品生产
排灌设备	排灌机械
地方人代会	地方人大
商品购买能力	商品购买力
病人教育	卫生教育
原子能工业	核工业
监察机构	监察部门
移文清册	交接文据
地图编制	地图编绘
武器装备科研课题	武器装备科研项目
歌谣	民歌
股东权益	所有者权益
发电厂	电厂
军事历史研究	军事史研究
政体	政治制度
出资方	股东
权	权力
社保	社会保障
林彪反革命事件	“九—三”事件
消费水准	消费水平
工艺品	工艺美术品
国防科学技术	国防科技
超编干部	编外干部
养蜂	蜜蜂饲养
作物	农作物
前景	发展趋势
港澳台合作经营企业	港澳台商企业
电脑	计算机
整顿经济秩序	经济秩序整顿
扭亏	扭亏增盈
工作责任制度	责任制
在建工程	基建工程
中国文学艺术界联合会代表大会	文化会	文代会
针灸	针灸疗法
汉语自动分词	汉语分词
专门物资	专用物资
登月	月球探测
物流设施	物流设备
副虹	霓
并购	资产重组
三产	第三产业
经济体改	经济体制改革
解密(文件)	解除密级
反腐蚀	反腐倡廉
负责人	领导人
军用装备	军事装备
枪械类装备	枪械装备
龙眼	桂圆
计算机网	计算机网络
人才优势	人才战略
军队后勤保障	后勤保障
装备订购	装备订货
养路	道路养护
专业技术干部	科技下部	科技干部
外贸	对外贸易
复交	恢复外交关系
假错案	冤假错案
配方食品	食品
凤梨	菠萝
降雨量	降水量
军营歌曲	部队歌曲
蚕业	蚕桑业
工贸	工商贸易
因公出境	因公出国
三防	核生化防护
安全理事会	安理会
勘查	勘察
转支	转移支付
国会制	议会制
灭菌	消毒
内河运输保卫	水运保卫
林产副业	林产品加工业
第二审案件	二审案件
家具工业	家具制造业
家畜饲养业	牲畜饲养业
商品检查	商品检验
空中运输	航空运输
视度	能见度
货币汇价	汇率
增加收入	增收
有限战争	局部战争
祖国统一	祖国统一问题
麻醉药品	麻醉剂
滩涂	滩涂地
绿地率	绿地覆盖率
国家总动员	总动员
惩治犯罪	打击犯罪
建筑材料工业	建材工业
煤炭	煤
物资储备平衔	物资平衡
林业区	林区
邮运	邮政运输
法(法律)	法律
主题词	叙词
延长预备党员预备期	延长预备期
国家干预	国家调节
工行	中国工商银行
汽车运动	赛车运动
邮封	邮资信封
告示	布告
水运	水路运输
纪检	安插亲信
大气分层	大气层
行政降职	降职
科研单位	科研机构
航测	航空测量
超市	超级市场
副热带高压	副热带反气旋
进步战争	革命战争
卫星地面站	地球站
黑毛风	沙尘暴
人类生物气象学	医疗气象学
汇集	汇编
船	船舶
气压	大气压
整风	作风整顿
编辑	编辑工作
商品流通行业	商品流通业
中外合作经营企业	合作企业
通过税	过境税
欧洲联盟	欧盟
经济委员会	经委
训练纲目	训练大纲
保荐	推荐
非盈利性团体	非营利性团体
处置突发事件	突发事件处置
国防经费	国防费
工作方式	工作方法
制造工业	工业
政纪处分	行政处分
预留	储备
剧院	剧场
治安拘留	拘留
营运费	运行费
山川旅游	山水旅游
租税	税收
仓库租金	仓库
气象情报传输	气象信息传输
电传业	电信服务业
气象观测站	气象站
训练纲要	训练大纲
防核武器	核武器防护
聘任制度	聘任制
家电	家用电器
国家债务	国债
艺术家	艺术欣赏
公共广播电视	电视广播
企业经营形式	企业经营
合资经营企业	合资企业
节约用水产业	节水产业
光电电子战侦察	光电对抗侦察
无产阶级政党	工人阶级政党
家族美德建设	家庭美德建设
大额特种存单	大额存单
交际舞	交谊舞
缩减军备	裁军
野营拉练	野营训练
劳模	劳动模范
公安干警	公安民警
税务	税务工作
反恐怖行动	反恐怖活动
人民防空工程	人防工程
全宗介绍	全宗指南
妇联工作	妇女工作
药物评价	药品评价
消毒药	消毒剂
武器置办	武器装备采购
军地互涉案件	互涉案件
电子反制	电子干扰
防务预算	国防预算
来往文书	来往文件
地方戏	地方剧
思考电影	思想电影
会议保密事项	会议保密
目录编排	编目
金融审计科	审计科
名牌	名牌产品
电视电话	可视电话
水花	赤潮
判处死刑	死刑
遵纪爱民	拥政爱民
社团	社会团体
人保	人身保险
国家空中交通管制委员会	国家空管委
军人义务教育	军人职责教育
军品出口贸易法规	军品出口法规
处置突发事件时间	处突时间
军队国有资产	军产
铁路客车	旅客列车
戒备等级	战备等级
百花齐放，百家争鸣	双百方针
科教兴市	科教兴国战略
关防	印信
滩地	滩涂地
中国文学艺术界联合会	文联
审计机关	审计机构
港商投资企业	港澳台商企业
司机	驾驶员
购买军火	武器装备采购
热力学性质	热特性
土地买卖	土地交易
对台贸易	两岸贸易
收容所	救助管理站
石油加工业	石油化学工业
电台新闻	广播新闻
中国人民政治协商会议全国委员会会议	全国政协会议
外交官员	外交官
艺术模特	人体模特
补助金	补助费
国民生产总值	国民经济总产值
贺辞	贺词
部队后方勤务	部队后勤
后备役	预备役
武警部队后勤	武警后勤
伯尔尼保护文学艺术作品公约	伯尔尼公约
军队装备	军事装备
装备规划、体制、类型	武器
科学研究	科研
整党整风	党的作风整顿
新药审批	药物批准
雷达电子战侦察	雷达对抗侦察
台军	台湾军队
内战	国内战争
两个文明建设	三个文明建设
武器装备转让	武器转让
气压形势	天气形势
外商独资经营企业	外商企业
世界贸易	国际贸易
哑语	手语
人选	三反运动
侨胞	华侨
警卫勤务	警卫
铁道	铁路
违犯纪律	违纪行为
军工生产转民品生产	军转民
舰船战斗航海勤务	舰艇战斗航海勤务
东南亚联盟	东盟
信息对抗	信息战
毒素武器	生物武器
台独运动	台独活动
增值型国防	增殖型国防
国际民用航空组织	国际民航组织
遴选	选拔
行政报告	工作报告
天气灾害	气象灾害
集购	集团购买
文物展出	文物陈列
武器装备采购费	装备购置费
欧洲经济共同体	欧共体
飞机场	机场
惩腐倡廉	反腐倡廉
严打	严打整治斗争
引进人才	人才引进
国家军力	军事实力
国营企业	国有企业
军工产品贸易	军品贸易
历史时期气候	历史气候
品牌优势	名牌优势
国防教育部门	国防教育机构
震后救灾	防震减灾
农用薄膜	农膜
虹	主虹
体改	体制改革
中医	中国医药学
城市绿地率	城市绿地覆盖率
财政补助	财政补贴
购买武器	武器装备采购
部件	零部件
妇女代表大会	妇代会
高科技产业	高新技术产业
英特网	因特网
监督改造	监督劳动
兵种	军兵种
电瓶	蓄电池
工作大纲	工作计划
农产品初加工机械	农产品加工机械
跟单付款	付款交单
林	森林
挂历	年历
整顿党风	党的作风整顿
后备役训练	预备役训练
水保措施	水土保持措施
特种地图	专题地图
维护社会稳定	维稳
沼泽	沼泽地
裁军会议	裁军谈判
消极干扰	无源电子干扰
盐业	制盐工业
民进	中国民主促进会
社会总产值	国民经济总产值
节水型农业	节水农业
航天遥感测绘	遥感测绘
农产品初加工业	农产品加工业
独立战争	民族解放战争
光学纤维	光纤
科学技术进步奖	科技进步奖
战争动员机构	动员机构
跨国集团	跨国公司
中继路由	路由
条码	条形码
联合国粮食及农业组织	联合国粮农组织
木简	竹木简
应征对象	应征公民
淡水捕捞业	内陆捕捞业
军队驻地警卫	军营警卫
妇女联合会	妇联
迎宾部队	仪仗队
农业副产品	农副产品
部队武器装备	部队装备
出售	销售
中共中央扩大工作会议(1962)	七千人大会(1962)
诬告	诬陷
礼物	礼品
呈	呈文
导弹核战争	核战争
防化类装备	防化装备
出国参观	出国考察
内网	内部网
军委纪律检查委员会	军队纪律检查委员会
筹集资金	集资
财务收支审计	财务审计
则政工作人员	财政人员
黑风	沙尘暴
全国人民代表大会常务委员会委员长办公会议	委员长办公会议
凭照	凭证
武器贮备	武器装备储备
文职管员	文职干部
专门地图	专题地图
文献解密	解除密级
萨斯	非典
常委委员	常务委员
会议记录	会议录
微电脑	微型计算机
辞典	词典
数字艺术	电子艺术
反光电干扰	光电反干扰
赤道无风带	热带辐合带
民兵装备	民兵武器装备
党中央	中共中央
举报	检举
学雷锋	学雷锋活动
正规部队	正规军
航天通信	空间通信
婚前体检	婚前检查
床位数	病床数
从严治警	依法治警
步兵武器	轻武器
捐献器官	器官捐献
军事冲突	武装冲突
低温冷害	冷害
政协权国委员会	全国政协
国家关系正常化	恢复外交关系
救捞	救助打捞
战区自动化指挥系统	战区指挥自动化系统
医风	医德
刊物	期刊
稿子	草稿
除六害	打击犯罪
起诉状	起诉书
土地	耕地保护
简	简牍档案
迷信活动	封建迷信活动
联合国安全理事会	安理会
反恐怖斗争	反恐怖活动
个体工商业	个体户
国防思想	国防理论
网路标准	网络标准
冷冻设备	冷冻冷藏设备
澳大利亚元	澳元
乙型肝炎	乙肝
战斗机	歼击机
石化工业	石油化学工业
政工机构	政工部门
地对空导弹	地空导弹
粮油买卖	粮油销售
政局	政治局势
比赛器械	运动器械
弱震	有感地震
优化设计	最优设计
财务会计	会计
干燥区	旱区
多角贸易	多边贸易
服装制造业	服装工业
出国访问	出访
交税	纳税
反对核武器运动	反核运动
武器装备验收	装备验收
医案	病案
毁林	乱砍滥伐
