序 号,出货条码,品名,规格,单位,:销售数量,售价,:销售金额,:毛利,:毛利率％,:成本金额,商品库存,最新货商
2540,6903148093788,潘婷垂直发润发精华素200ML,*12*12,瓶,5,18.9,94.5,15.65,16.56,78.85,1,2049
2541,6903148093795,潘婷乌黑莹亮润发精华200ML,12*12,瓶,1,18.9,18.9,3.13,16.56,15.77,5,2049
2542,6903148093825,潘婷强韧防掉发润发精华乳200ML,*12,瓶,2,16.8,33.6,2.06,6.13,31.54,2,2049
2543,6903148093993,飘柔首乌黑亮精华素200ML,1*12,瓶,3,9.9,29.7,2.31,7.78,27.39,2,2024
2544,6903148094020,飘柔首乌黑亮洗发水200ML,,瓶,1,17.5,17.5,2.39,13.66,15.11,10,2049
2545,6903148094082,飘柔防掉发洗发露400ML,,瓶,1,33,33,3.96,12,29.04,6,2049
2546,6903148094099,飘柔防掉发洗发水200ML,,瓶,2,17.5,35,4.78,13.66,30.22,8,2049
2547,6903148094365,佳洁士双效炫白牙膏180克,2009,支,13,12.8,166.4,22.49,13.52,143.91,19,2024
2548,6903148094389,佳洁士酷白体验180克冰极山体验牙膏,2009,支,5,15,75,9.05,12.07,65.95,16,2049
2549,6903148094396,佳洁士酷白体验180克牙膏晨露荷香口感,2009,支,11,15,165,19.91,12.07,145.09,15,2024
2550,6903148094402,佳洁士酷白体验180克牙膏沁醒冰橙口感,2009,支,6,15,90,10.86,12.07,79.14,11,2049
2551,6903148094419,佳洁士酷白体验120克牙膏冰极山泉口感,2009,支,5,11.5,57.5,8.1,14.09,49.4,18,2024
2552,6903148094426,佳洁士酷白体验120克牙膏晨荷香口感,2009,支,9,11.5,103.5,14.58,14.09,88.92,19,2024
2553,6903148094433,佳洁士酷白体验120克牙膏沁醒冰橙口感,2009,支,4,11.5,46,6.48,14.09,39.52,19,2024
2554,6903148094464,佳洁士双效炫白牙膏180克柠檬茶香型,2009,支,8,12.8,102.4,13.84,13.52,88.56,17,2024
2555,6903148094488,佳洁士双效炫白牙膏180克茉莉茶香型,2009,支,8,12.8,102.4,13.84,13.52,88.56,12,2024
2556,6903148094501,佳洁士皓爽炫白牙膏180克,2009,支,12,12.8,153.6,20.76,13.52,132.84,20,2024
2557,6903148094518,佳洁士皓爽炫白牙膏120克,2009,支,86,9.8,436.1,8.64,1.98,427.46,82,2049
2558,6903148094822,佳洁士草本水晶牙膏105克(清爽薄荷香型),1*54,支,24,3.8,91.2,25.68,28.16,65.52,0,2049
2559,6903148095799,汰渍净白洗衣粉1.55千克,,包,4,13.5,54,7.92,14.67,46.08,1,2049
2560,6903148095805,汰渍净白无磷洗衣粉1.55千克,,包,6,13.5,81,11.88,14.67,69.12,7,2024
2561,6903148096901,护舒宝隐型净洁超薄护垫无香18片,2009,包,23,4.9,112.7,19.78,17.55,92.92,6,2024
2562,6903148099483,舒肤佳健康沐浴露纯白清香型720ML,,瓶,5,31.3,156.5,20.65,13.19,135.85,0,2024
2563,6903148099520,舒肤佳柠檬清香型沐浴露720ML,1*6,瓶,4,31.3,125.2,16.52,13.19,108.68,6,2024
2564,6903148099605,舒肤佳芦荟柔肤型沐浴露720ML,1*6,瓶,3,31.3,93.9,12.39,13.19,81.51,4,2024
2565,6903148099643,舒肤佳木瓜自然净白型沐浴露720ML,1*6,瓶,1,31.3,31.3,4.13,13.19,27.17,4,2024
2566,6903148100318,佳洁士健康专家牙龈护理90克牙膏托盘装,,支,3,12.9,38.7,4.89,12.64,33.81,-5,2049
2567,6903148101179,佳洁士健康专家抗敏感90克牙膏托盘装,,支,4,12.9,51.6,6.52,12.64,45.08,6,2049
2568,6903148102046,卡玫尔浪漫沐浴露400毫升*12,,瓶,2,19.9,39.8,5.36,13.47,34.44,1,2049
2569,6903148103906,品客薯片酸乳酪洋葱味40克,1*24,包,1,5.9,5.9,0.8,13.56,5.1,0,2049
2570,6903148104736,海飞丝去屑洗发露强根护发型400ML,1*24,瓶,1,38.5,38.5,2.51,6.52,35.99,4,2049
2571,6903148104743,海飞丝去屑洗发露强根护发型200ML,1*24,瓶,8,20.5,164,14.4,8.78,149.6,7,2049
2572,6903148108314,飘柔家庭护理绿茶长效清爽去油洗发露750ML,1*12,瓶,4,29.9,119.6,21.12,17.66,98.48,0,2024
2573,6903148108321,飘柔家庭护理山茶长效柔顺去屑洗发露750ML,1*12,瓶,2,29.9,59.8,10.56,17.66,49.24,13,2024
2574,6903148108338,飘柔家庭护理山杏仁长效柔滋养洗发露750ML,1*12,瓶,1,29.9,29.9,5.28,17.66,24.62,11,2049
2575,6903148114315,汰渍净白去渍无磷洗衣粉2.15千克,1*6,包,1,16.9,16.9,1.23,7.28,15.67,3,2049
2576,6903148114476,汰渍全效炫白加衣领净精货洗衣粉560克,X16,袋,13,6.5,84.5,19.5,23.08,65,6,2049
2577,6903148114865,汰渍净白去渍无磷洗衣粉柠檬清新型2.15千克,1*6,包,4,18.5,72.4,9.72,13.43,62.68,2,2049
2578,6903148114988,汰渍全效炫白加衣领净精货洗衣粉1.65千克,X6,袋,1,16.5,16.5,2.6,15.76,13.9,3,2049
2579,6903148115008,汰渍全效炫白加衣领净精洗衣粉2.2千克,X6,包,3,21.8,65.4,9.87,15.09,55.53,8,2049
2580,6903148115329,汰渍全效炫白加舒肤佳皂粒洗衣粉1.65千克,X6,包,3,16,48,6.3,13.12,41.7,4,2049
2581,6903148115336,汰渍全效炫白加舒肤佳皂粒洗衣粉2.2千克,X6,包,1,21.8,21.8,3.29,15.09,18.51,10,2049
2582,6903148115367,汰渍全效炫白洗洁精功效洗衣粉2.2千克,X6,包,2,21.8,43.6,6.58,15.09,37.02,9,2049
2583,6903148116524,碧浪去渍超净洗衣液2千克,,瓶,2,46.9,93.8,14.44,15.39,79.36,5,2049
2584,6903148116852,碧浪去渍超净洗衣液1千克,,瓶,1,23.9,23.9,3.68,15.4,20.22,5,2049
2585,6903148116906,碧浪去渍超净洗衣液500克,,袋,5,11.9,59.5,9.15,15.38,50.35,5,2049
2586,6903148116920,汰渍全效炫白加360度洁净力洗衣粉百合300克,X24,包,15,2.9,43.5,6.6,15.17,36.9,4,2049
2587,6903148116944,汰渍全效炫白加360度洁净力洗衣粉百合560克,X16,包,10,6.3,63,13,20.63,50,7,2049
2588,6903148116951,汰渍全效炫白加360度洁净力洗衣粉百合1千克,X8,包,4,10.9,43.6,7.76,17.8,35.84,3,2049
2589,6903148116975,汰渍全效炫白加360度洁净力洗衣粉百合1.65千克,X6,包,8,16,128,16.8,13.12,111.2,4,2049
2590,6903148116999,汰渍全效炫白加360度洁净力洗衣粉百合2.2千克,X6,包,3,21.8,65.4,9.87,15.09,55.53,3,2049
2591,6903148117002,汰渍全效炫白加360度洁净力洗衣粉百合3千克,X4,包,3,28,84,12.03,14.32,71.97,38,2049
2592,6903148117668,汰渍全效炫白加衣领净精华洗衣粉300克,1*24,包,37,3,111,19.98,18,91.02,4,2049
2593,6903148117682,汰渍全效炫白加衣领净精货洗衣粉1千克,X8,袋,3,10.9,32.7,5.82,17.8,26.88,20,2049
2594,6903148117828,汰渍360炫白高浓度洗衣液500克,,袋,7,9.9,69.3,9.24,13.33,60.06,5,2049
2595,6903148118078,飘柔皂角去屑止痒洗发露200ML,1*24,瓶,2,17.5,35,4.78,13.66,30.22,10,2049
2596,6903148121146,汰渍360炫白高浓度洗衣液900克,,袋,4,16.9,67.6,9.04,13.37,58.56,5,2049
2597,6903148121153,汰渍360炫白高浓度洗衣液1.8千克,1*6,包,3,31.9,95.7,12.78,13.35,82.92,7,2049
2598,6903148121610,海飞丝去屑洗发露止痒呵护型200ML,1*8,瓶,10,20.5,205,12.1,5.9,192.9,2,2049
2599,6903148121863,碧浪去渍超净洗衣液900克,,袋,1,19.9,19.9,3.06,15.38,16.84,3,2049
2600,6903148122174,舒肤佳健康抑菌洗手液纯白清香型450ML,,瓶,2,15.8,31.6,4.06,12.85,27.54,6,2049
2601,6903148122181,舒肤佳健康抑菌洗手液柠檬清香型450ML,,瓶,3,15.8,47.4,6.09,12.85,41.31,5,2049
2602,6903148122198,舒肤佳健康抑菌洗手液芦荟柔肤型450ML,,瓶,5,15.8,79,10.15,12.85,68.85,5,2049
2603,6903148126653,飘柔家庭护理芦荟长效止痒滋润洗发露200ML,1*12,瓶,14,9.9,138.6,39.24,28.31,99.36,10,2049
2604,6903148126660,飘柔家庭护理芦荟长效止痒滋润洗发露400ML,1*12,瓶,2,16.9,33.8,6.76,20,27.04,1,2049
2605,6903148131480,潘婷乳液修复洗发露200毫升8折装,,瓶,12,15.1,181.2,19.5,10.76,161.7,0,2049
2606,6903148131497,潘婷丝质顺滑洗发露200毫升8折装,,瓶,13,15.1,196.3,21.13,10.76,175.18,0,2049
2607,6903155000953,牛头牌沙爹牛肉粒(五香/麻辣)43克,42克*50包,袋,2,9.5,19,3.2,16.84,15.8,8,1038
2608,6903155000984,牛头牌牛肉干(麻辣/五香)88克,88克*30包,包,2,20.8,41.6,7.4,17.79,34.2,6,1038
2609,6903155002599,牛头牌香酥牛肉干(五香/麻辣)50g,50g*40,袋,3,12.5,37.5,6.6,17.6,30.9,6,1038
2610,6903193004036,三金西瓜霜特效牙膏150克,1*48,支,1,15.9,15.9,3.2,20.13,12.7,16,2049
2611,6903193004043,三金西瓜霜炎清牙膏150克,1*48,支,30,6.8,204,74.4,36.47,129.6,35,2049
2612,6903193004098,三金西瓜霜怡神水晶牙膏150克,1*48,支,18,8.8,158.4,32.4,20.45,126,17,2049
2613,6903193004104,三金西瓜霜防蛀牙膏150克,1*72,支,12,5.8,69.6,26.4,37.93,43.2,11,2049
2614,6903193004128,三金西瓜霜防护齿牙膏150克,1*72,支,4,5.8,23.2,4.8,20.69,18.4,15,2049
2615,6903193004135,三金西瓜霜超白牙膏180克,1*48,支,1,12.9,12.9,2.6,20.15,10.3,17,2049
2616,6903193004142,三金西瓜霜除渍增白牙膏100克,1*48,支,1,21.8,21.8,4.4,20.18,17.4,19,2049
2617,6903244223102,安尔乐七度空间日用卫生巾10片,*24包A9310,包,25,8.5,212.5,32.5,15.29,180,44,2053
2618,6903244312059,安尔乐日用亲肤卫生巾5片,*48包J8105,包,51,2.3,117.3,20.4,17.39,96.9,37,2053
2619,6903244312103,安尔乐舒适安心棉质日用卫生巾10片,*24包J8110,包,25,4,100,10,10,90,33,2053
2620,6903244323208,安尔乐亲肤卫生护垫20片,*48包B8020,包,45,3.8,171,13.5,7.89,157.5,79,2053
2621,6903244332101,安尔乐日用干爽卫生巾10片,*24包J9110,包,102,4.5,459,51,11.11,408,72,2053
2622,6903244361200,安尔乐棉柔清香抗菌护垫20片,*48包B8720,包,42,4.7,197.4,25.2,12.77,172.2,34,2053
2623,6903244370165,安尔乐七度空间日用卫生巾5片,*48包A9305,包,54,4.4,237.6,37.8,15.91,199.8,54,2053
2624,6903244370172,安尔乐七度空间夜用卫生巾5片,*48包A9405,包,45,4.9,220.5,31.5,14.29,189,84,2053
2625,6903244370424,七度空间优雅薄型丝柔日用卫生巾10片,10片*24,包,96,7.5,720,86.4,12,633.6,44,2053
2626,6903244370431,七度空间优雅薄型丝柔夜用10片,10片*24,包,16,8.9,142.4,20.8,14.61,121.6,33,2053
2627,6903244370448,七度空间丝薄日用卫生巾5片,5片*48,包,59,3.8,224.2,29.5,13.16,194.7,82,2053
2628,6903244370455,七度空间优雅薄型丝柔夜用5片,5片*48,包,20,4.9,98,22,22.45,76,60,2053
2629,6903244370479,安尔乐亲肤组合套装(30片),12包,包,53,11,583,79.5,13.64,503.5,47,2053
2630,6903244370516,安尔乐丝薄干爽日用卫生巾10片,*24包J9510,包,105,5.9,619.5,73.5,11.86,546,64,2053
2631,6903244370523,安尔乐丝薄夜用干网卫生巾5片,*48包J9605,包,27,3.9,105.3,24.3,23.08,81,-1,2053
2632,6903244370530,安尔乐娇适安心干爽丝薄夜用10片,24包 J9610,包,47,6.6,310.2,28.2,9.09,282,33,2053
2633,6903244370585,安尔乐棉柔超薄日用卫生巾10片,*24包J8510,包,95,5.5,522.5,57,10.91,465.5,58,2053
2634,6903244370592,安尔乐棉柔丝薄夜用5片,*48包  J8605,包,43,3.1,133.3,12.9,9.68,120.4,2,2053
2635,6903244370608,安尔乐棉柔丝薄夜用10片,*24包 J8610,包,28,6.3,176.4,19.6,11.11,156.8,43,2053
2636,6903244370639,安尔乐纤柔护垫40片,*12包2B8040,包,84,8.6,722.4,50.4,6.98,672,36,2053
2637,6903244370769,安尔乐七度空间超长夜用卫生巾4片,*60包A88804,包,88,4.4,387.2,52.8,13.64,334.4,114,2053
2638,6903244370783,安尔乐七度空间超长夜用卫生巾(网面）4片,*60包A98804,包,123,4.5,553.5,73.8,13.33,479.7,45,2053
2639,6903244370899,七度空间女生护垫无香型18片,18片*48,盒,69,4.8,331.2,48.3,14.58,282.9,58,2053
2640,6903244370912,七度空间棉质冰感护垫18片,*48包BQ8918,盒,22,4.9,107.8,22,20.41,85.8,49,2053
2641,6903244370943,安尔乐纯棉超薄日用卫生巾5片,*48包A6505,包,139,4.4,611.6,69.5,11.36,542.1,94,2053
2642,6903244370950,七间空间少女系列日用超薄10片,*24包A6510,包,120,9,1080,144,13.33,936,168,2053
2643,6903244370967,安尔乐纯棉超薄夜用卫生巾5片,*48包A6605,包,62,5.1,316.2,43.4,13.73,272.8,89,2053
2644,6903244370974,安尔乐纯棉超薄夜用卫生巾10片,*24包*A6610,包,32,10.3,329.6,48,14.56,281.6,147,2053
2645,6903244370981,七度空间纯棉超薄特长夜用4片,4片*60,包,105,4.6,483,73.5,15.22,409.5,99,2053
2646,6903244370998,安尔乐纯棉超薄夜用卫生巾8片,*30包A68908,包,22,9,198,26.4,13.33,171.6,35,2053
2647,6903244371001,七度空间绢爽超薄日用卫生巾5片A99505,*48包A99505,包,286,4.5,1287,143,11.11,1144,242,2053
2648,6903244371018,七度空间绢爽超薄日用卫生巾10片A99510,*24包A99510,包,61,9.2,561.2,73.2,13.04,488,52,2053
2649,6903244371025,七度空间绢爽超薄夜用卫生巾5片A99605,*48包A99605,包,41,5.1,209.1,24.6,11.76,184.5,69,2053
2650,6903244371032,七度空间绢爽超薄夜用卫生巾10片A99610,*24包A99610,包,29,10.4,301.6,55.1,18.27,246.5,34,2053
2651,6903244371049,七度空间绢爽超薄夜用卫生巾4片A99904,*60包A99904,包,260,4.5,1170,130,11.11,1040,345,2053
2652,6903244371056,七度空间绢爽超薄夜用卫生巾8片A99908,*30包A99908,包,20,9.2,184,24.8,13.48,159.2,41,2053
2653,6903244371063,安尔乐娇适安心日夜组合超值装20片,*12袋,袋,56,6.9,386.4,39.2,10.14,347.2,22,2053
2654,6903244371292,七度空间少女系列迷你卫生巾绢爽超薄18片,18片*36包,包,26,9.8,254.8,26,10.2,228.8,63,2053
2655,6903244371308,七度空间少女系列迷你卫生巾纯棉超薄18片,18片*36包,包,32,9.5,304,32,10.53,272,43,2053
2656,6903244371339,安尔乐蓝芯体验棉柔表层标准超长夜用3片,3片*80包,包,87,4,348,43.5,12.5,304.5,61,2053
2657,6903244371346,安尔乐蓝芯体验干爽网面标准超长夜用3片,3片*80包,包,26,4,104,13,12.5,91,43,2053
2658,6903244371353,安尔乐蓝芯体验纯棉表层丝薄迷你巾10片,10片*48包,包,59,4,236,29.5,12.5,206.5,24,2053
2659,6903244371360,安尔乐蓝芯体验干爽网面丝薄迷你巾10片,10片*48包,包,82,4,328,41,12.5,287,25,2053
2660,6903244371490,安尔乐抑菌清凉棉柔表层丝薄日用10片,10片*24包,包,3,9.9,29.7,3.9,13.13,25.8,23,2053
2661,6903244371506,安尔乐抑菌清凉棉柔表层丝薄夜用10片,10片*24包,包,3,10.8,32.4,4.2,12.96,28.2,24,2053
2662,6903244371513,安尔乐抑菌清凉干爽网面丝薄日用10片,10片*24包,包,2,10.8,21.6,2.8,12.96,18.8,23,2053
2663,6903244540049,安儿乐舒薄棉纸尿裤小号30片,*8袋S9030,包,2,38.8,77.6,10.6,13.66,67,4,2053
2664,6903244540131,安尔乐纸尿片大号9-13KG20片,*18包L516,包,7,16.4,114.8,16.8,14.63,98,9,2053
2665,6903244540292,安尔乐婴儿纸尿裤超能吸中号48片,48片*4袋,袋,1,77,77,9.5,12.34,67.5,3,2053
2666,6903244540308,安尔乐婴儿纸尿裤超能吸大号40片,40片*4袋,袋,3,77,231,28.5,12.34,202.5,4,2053
2667,6903244540322,安而康简装纸尿裤中号10片,10片*4,包,5,38,190,30,15.79,160,6,2053
2668,6903244540339,安而康简装纸尿裤大号10片,10片*4,包,10,43,430,70,16.28,360,0,2053
2669,6903244541145,安尔乐干爽透气超薄型尿裤小号60片,60片*4袋,袋,4,62,248,32,12.9,216,3,2053
2670,6903244541152,安尔乐干爽透气超薄型尿裤中号48片,48片*4袋,袋,5,62,310,40,12.9,270,4,2053
2671,6903244541176,安尔乐干爽透气超薄型尿裤大号40片,40片*4袋,袋,7,62,434,56,12.9,378,5,2053
2672,6903244541190,安儿乐超薄尿裤小号(S)15片,15片*12,包,2,17,34,4.4,12.94,29.6,5,2053
2673,6903244612104,安尔乐棉柔纤巧夜用10片,*24包 J8210,包,26,4.7,122.2,13,10.64,109.2,37,2053
2674,6903244631051,安尔乐夜用超薄透气卫生巾5片,*48包A9605,包,16,5,80,9.6,12,70.4,0,2053
2675,6903244632102,安尔乐夜用干网卫生巾10片,*24包J9210,包,53,5.2,275.6,37.1,13.46,238.5,35,2053
2676,6903244690201,安而康成人纸尿裤中号10片,10片*4,包,5,49,245,40,16.33,205,3,2053
2677,6903244880305,安乐日用干网卫生巾10片,*24包ALa1410,包,53,3,159,21.2,13.33,137.8,32,2053
2678,6903244880312,安乐夜用干网卫生巾10片,*24包ALa2410,包,17,3.5,59.5,10.2,17.14,49.3,27,2053
2679,6903244880381,安乐夜用干网卫生巾10片,*48包AL66510,包,16,3.6,57.6,8,13.89,49.6,13,2053
2680,6903244880398,安乐日用干网卫生巾10片,*48包AL65510,包,89,3.2,284.8,35.6,12.5,249.2,41,2053
2681,6903244880619,安乐棉柔护垫20片,1*48  ALB2020,包,342,2.5,855,102.6,12,752.4,193,2053
2682,6903244880848,安乐瞬洁净透护垫20片,20片*48,盒,82,2.8,229.6,32.8,14.29,196.8,40,2053
2683,6903244881180,安乐草本无忧柔棉护垫20片,20片*48,盒,22,3.1,68.2,11,16.13,57.2,58,2053
2684,6903244911207,安尔乐干爽卫生护垫20片,1*48,包,41,4.3,176.3,24.6,13.95,151.7,68,2053
2685,6903244952101,安儿乐纸尿裤大号9-13KG10片,1*12,包,9,15,135,18,13.33,117,8,2053
2686,6903244953122,安儿乐纸尿裤中号5-10KG12片,1*10,包,17,15,255,34,13.33,221,9,2053
2687,6903244955126,心相印手帕纸1*12包,1*36,条,3,6.8,20.4,2.4,11.76,18,12,2053
2688,6903244957106,安尔乐纸尿片小号3-6KG20片,1*18,包,3,15,45,10.5,23.33,34.5,6,2053
2689,6903244958103,心相印三层卷筒纸(绿色特柔)10卷装,BT810 10卷*10提,提,16,32.5,520,40,7.69,480,17,2053
2690,6903244981002,心相印软抽纸100抽,1*100,包,36,2.3,82.8,10.8,13.04,72,53,2053
2691,6903244981149,心相印130抽盒面纸(四季无香型)*4盒,A130 4盒*12提,提,9,16.3,146.7,7.2,4.91,139.5,14,2053
2692,6903244982108,心相印买8送2手帕纸,1*45,袋,42,4.6,193.2,37.8,19.57,155.4,63,2053
2693,6903244982207,心相印手帕纸9包*12张,1*48,袋,54,4.9,264.6,32.4,12.24,232.2,63,2053
2694,6903244982283,心相印三层印花皮夹纸10张*3层6包,1*72,条,1,4.1,4.1,0.8,19.51,3.3,-5,2053
2695,6903244982627,心相印卡通钱夹纸9包,1*60,条,17,4.1,69.7,11.9,17.07,57.8,53,2053
2696,6903244984102,心相印软抽纸(200抽),1*48,包,72,6,432,64.8,15,367.2,65,2053
2697,6903244984126,心相印抽取式手帕纸120抽*2层,1*8,盒,5,4,20,6.88,34.37,13.13,8,2053
2698,6903244984133,心相印抽纸120抽*6盒,1*8,提,7,23.5,164.5,17.5,10.64,147,11,2053
2699,6903252780211,康师傅味椒牛柳碗面95克,1*12,碗,7,4,24.5,2.31,9.43,22.19,31,1060
2700,6903254000045,惠尔康菊花茶250毫升,250毫升,盒,8,1.1,8.8,3.2,36.36,5.6,27,1083
2701,6903254201206,惠尔康谷粒谷力燕麦浆250ML,250ML*18盒,盒,52,2,104,18.78,18.05,85.22,17,1083
2702,6903254201220,惠尔康谷粒谷力红豆浓浆250ML,250ML*18盒,盒,116,2,232,41.89,18.05,190.11,2,1083
2703,6903254201749,惠尔康谷粒谷力燕麦浆250ML*18盒,250ML,件,6,33.5,201,24,11.94,177,15,1083
2704,6903254201756,惠尔康谷粒谷力红豆浓浆250ML*18盒,250ML,件,13,33.5,435.5,52,11.94,383.5,16,1083
2705,6903254201763,惠尔康谷粒谷力玉米南瓜浓浆250ML,*18盒,盒,50,2,100,18.06,18.05,81.95,10,1083
2706,6903254201770,惠尔康谷粒谷力玉米南瓜浓浆250ML*18盒,250ML,件,5,33.5,167.5,20,11.94,147.5,10,1083
2707,6903254202074,惠尔康花生牛奶饮料250ml,250ml*18,盒,22,2,44,18.48,42,25.52,979,1083
2708,6903254202470,惠尔康花生牛奶250ML*16,,件,47,32,943.8,74.3,7.87,869.5,-18,1083
2709,6903254202678,惠尔康谷粒谷力绿豆浓浆250ml,1*18,盒,66,2,132,21.08,15.97,110.92,0,1083
2710,6903254202685,惠尔康谷粒谷力绿豆浓浆250ml*18,,箱,4,33.5,134,18,13.43,116,5,1083
2711,6903254202890,惠尔康谷粒谷力黑芝麻浓浆250ML,1*18,盒,84,2,168,30.33,18.05,137.67,14,1083
2712,6903254202906,惠尔康谷粒谷力黑芝麻浓浆250ML*18,,件,14,33.5,469,56,11.94,413,15,1083
2713,6903254202937,惠尔康谷粒谷力花生浓浆250ML,1*18,盒,40,2,80,10,12.5,70,79,1083
2714,6903254202944,惠尔康谷粒谷力花生浓浆250ML*18,,件,5,33.5,167.5,20,11.94,147.5,15,1083
2715,6903254688076,惠尔康冬瓜茶250毫升,250毫升*24,盒,26,1.1,28.6,6.5,22.73,22.1,13,1083
2716,6903290190205,坛装特供花雕酒1500毫升,1*6,坛,7,22.8,159.6,26.6,16.67,133,10,1100
2717,6903337002553,龙大雪花粉丝200g,200g*75,包,8,7.8,62.4,62.4,100,0,-294,5051
2718,6903337002577,龙大雪花粉丝400g,1*30,包,4,15.5,58.6,58.6,100,0,-105,5051
2719,6903337003529,龙大龙口粉丝200g,,包,33,5.5,174.5,174.5,100,0,-428,5051
2720,6903337003567,龙大精制粉条200g,200g*60,包,6,5.8,32.4,17.4,53.7,15,-225,5051
2721,6903352000138,荷花牌味精99%227克,1*40,包,50,4.5,225,75,33.33,150,53,1087
2722,6903352000152,荷花牌味精99%*454克,1*20,袋,23,8.3,190.9,52.9,27.71,138,33,1087
2723,6903352101682,荷花牌味精99%50克,50克*200,袋,223,1,223,78.05,35,144.95,1,1087
2724,69033521016821,荷花牌味精99%50克*10包,,袋,20,9.5,190,60,31.58,130,9,1087
2725,6903352131184,荷花牌味精80%*227克,1*40,袋,14,4.9,68.6,31.85,46.43,36.75,12,1087
2726,6903352131382,荷花牌味精80%50克,50克*200,袋,81,0.9,72.9,26.33,36.11,46.58,2,1087
2727,69033521313821,荷花牌味精80%50克*10包,,袋,10,8.5,85,27.5,32.35,57.5,35,1087
2728,6903388100178,高露洁冰爽清香牙刷-软毛(买一送一),*24组,组,10,11.9,119,10.3,8.66,108.7,11,2014
2729,6903388100291,高露洁炫舒适牙刷-软毛,72支,支,4,15.9,63.6,6.8,10.69,56.8,13,2014
2730,6903388100369,高露洁亮洁晶莹牙刷(中毛),*72支,支,70,2.5,173,42.8,24.74,130.2,142,2014
2731,6903388100376,高露洁亮洁晶莹牙刷(中毛三支装),*24套,套,2,4.9,9.8,2.04,20.82,7.76,14,2014
2732,6903388100529,高露洁360度炫动舒适牙刷(买一送一),*72组,组,5,15.9,79.5,8.5,10.69,71,14,2014
2733,6903388100543,高露洁360度炫动舒适牙刷送360度美白牙膏65克,*36套,套,3,15.9,47.7,5.1,10.69,42.6,9,2014
2734,6903388134203,高露洁酷极巨星儿童牙刷,,支,8,3.5,28,2.24,8,25.76,10,2014
2735,6903388134302,高露洁神奇宝贝送闪卡,,支,7,4,28,6.02,21.5,21.98,30,2014
2736,6903388210099,高露洁旅行套装牙刷,1*48,支,7,10.9,76.3,4.06,5.32,72.24,2,2014
2737,6903388512001,高露洁适齿波浪型牙刷软毛,*72支,支,7,5.9,41.3,24.4,59.07,16.91,36,2014
2738,6903388512056,高露洁适齿波浪型牙刷软毛买2送2,*24组,组,4,11,44,5.36,12.18,38.64,20,2014
2739,6903388514005,高露洁纤丝柔洁牙刷,1*72,盒,7,7.5,52.5,4.83,9.2,47.67,28,2014
2740,6903388522000,高露洁适齿波浪牙刷-中毛,*72支,支,8,5.9,47.2,8.56,18.14,38.64,1,2014
2741,6903388620003,高露洁三重功效波浪型牙刷,*72支,支,7,2.5,17.5,7.7,44,9.8,29,2014
2742,6903388620010,高露洁三重功效牙刷(三支装),*24组,组,4,6.4,25.6,4.56,17.81,21.04,17,2014
2743,6903388630002,高露洁多能波浪牙刷-中毛,*72支,支,11,2.5,27.5,7.61,27.68,19.89,2,2014
2744,6903388630040,高露洁多能波浪牙刷-中毛三支装,*24套,套,5,6.4,32,5.7,17.81,26.3,14,2014
2745,6903388640025,高露洁超洁净牙刷(买一送一),,组,133,3.5,465.5,37.24,8,428.26,146,2014
2746,6903388710155,高露洁超洁护龈牙刷(软毛),*72支,支,10,5.2,52,6.9,13.27,45.1,19,2014
2747,6903388710162,高露洁超洁护龈牙刷(软毛)三支装,24组,组,5,12.5,62.5,5,8,57.5,21,2014
2748,6903388711022,高露洁冰爽清香软毛牙刷,,支,2,12.3,24.6,2.86,11.63,21.74,0,2014
2749,6903388712005,高露洁软毛360度,,支,6,13.9,83.4,9.78,11.73,73.62,5,2014
2750,6903388712029,高露洁360度牙刷-软毛(买一送一),*72组,组,16,13.9,222.4,26.08,11.73,196.32,25,2014
2751,6903388720093,高露洁清新型牙刷软毛,1*72支,支,5,6.5,32.5,2.7,8.31,29.8,37,2014
2752,6903388720109,高露洁旅风清新型牙刷-软毛(三支装),*24组,组,1,15.5,15.5,1.03,6.65,14.47,4,2014
2753,6903388720123,高露洁旋风清新型-软毛(买二送一),组,组,2,13,26,2.16,8.31,23.84,8,2014
2754,6903388970009,高露洁前驱全控牙刷（软毛）,,支,3,8.5,25.5,2.34,9.18,23.16,24,2014
2755,6903388970016,高露洁前驱型全控牙刷-软毛(买一送一),*72组,组,12,8.5,102,18.96,18.59,83.04,32,2014
2756,6903473021067,雀巢伴侣咖啡100克,100克*24,瓶,4,10.5,42,10,23.81,32,15,1048
2757,6903473100014,雀巢咖啡钻石杯50克,50克*24,瓶,1,21.3,21.3,4.6,21.6,16.7,12,1048
2758,6903473100229,雀巢咖啡100克,100克*12,瓶,1,40.5,40.5,8.7,21.48,31.8,5,1048
2759,6903495120021,田七怕上火牙膏90克,90克*48支,支,23,5.3,121.9,25.3,20.75,96.6,17,2024
2760,6903495122681,田七清热去火牙膏120克,120克*72,支,26,3,78,18.2,23.33,59.8,124,2024
2761,6903495130020,田七怕口臭牙膏90克,90克*48支,支,9,5.5,49.5,13.5,27.27,36,40,2024
2762,6903495140005,田七中草药牙膏100克(清润菊花香型),100克*54支,支,17,2.7,45.9,7.48,16.3,38.42,48,2024
2763,6903495140029,田七怕出血牙膏90克,90克*48支,支,2,5.9,11.8,3.4,28.81,8.4,37,2024
2764,6903495503688,田七橙动力天然威力洗洁精500克,500克*28瓶,瓶,1,4,4,0.57,14.25,3.43,24,2024
