序 号,出货条码,品名,规格,单位,:销售数量,售价,:销售金额,:毛利,:毛利率％,:成本金额,商品库存,最新货商
237,152020,众品香凉拌菜系列,,公斤,127.12,15,1752.26,1752.29,100,0,-161.23,5024
238,152021,众品香特价凉拌系列,/,公斤,18.97,13,246.67,246.66,100,0,-36.74,5024
239,152050,健牌卤猪肚,,公斤,0.17,50,8.4,8.4,100,0,-0.168,5063
240,152051,健牌卤猪舌,,公斤,1.74,50,87.1,87.1,100,0,-119.87,5063
241,152052,健牌卤水猪耳朵,,公斤,3.15,40,125.84,125.84,100,0,-186.387,5063
242,152056,鹏记牛肉丝,,公斤,3.62,50,180.75,180.75,100,0,-46.725,5039
243,152075,香脆黄豆,,公斤,2.72,22,59.79,59.8,100,0,-93.299,5039
244,152076,美味大鱼柳,,公斤,2,39.6,79.19,79.2,100,0,-105.444,5039
245,152080,龙井茶,,公斤,0.07,180,12.96,12.96,100,0,-1.286,5057
246,152081,茉莉花,,公斤,0.86,120,103.32,103.32,100,0,-5.611,5057
247,152082,黄贡菊,,公斤,2.75,160,440.64,440.64,100,0,-17.604,5057
248,152083,白贡菊,,公斤,1.25,320,401.28,401.28,100,0,-8.554,5057
249,152084,玫瑰茄,,公斤,0.48,140,66.64,66.64,100,0,-1.542,5057
250,152086,玫瑰王,,公斤,0.75,320,238.72,238.72,100,0,-6.218,5057
251,152087,柠檬片,,公斤,9.02,100,827.76,827.74,100,0,-46.24,5057
252,152088,金银花,,公斤,0.38,360,135.36,135.36,100,0,-2.89,5057
253,152089,山楂果,,公斤,3.67,50,167.44,167.4,100,0,-19.051,5057
254,152090,苦瓜茶,,公斤,1.08,100,75.6,75.6,100,0,-5.36,5057
255,152091,桂花,,公斤,0.37,360,133.92,133.92,100,0,-1.978,5057
256,152092,紫罗兰,,公斤,0.45,160,71.68,71.68,100,0,-1.474,5057
257,152093,金莲花,,公斤,0.27,280,76.72,76.72,100,0,-1.274,5057
258,152094,桃花,,公斤,0.21,240,51.36,51.36,100,0,-2.144,5057
259,152095,牡丹,,公斤,0.32,100,32.4,32.4,100,0,-1.668,5057
260,152096,玉兰花,,公斤,0.26,80,21.12,21.12,100,0,-1.136,5057
261,152097,百合花,,公斤,0.67,80,53.44,53.44,100,0,-4.812,5057
262,152098,苹果花,,公斤,0.05,120,6,6,100,0,-0.174,5057
263,152099,甘草片,,公斤,0.98,70,68.46,68.46,100,0,-5.24,5057
264,152100,薰衣草,,公斤,0.3,160,47.68,47.68,100,0,-2.216,5057
265,152101,竹叶青,,公斤,0.24,220,41.12,41.12,100,0,-1.892,5057
266,152102,勿忘我,,公斤,0.08,120,9.6,9.6,100,0,-0.996,5057
267,152103,千日红,,公斤,0.25,80,19.6,19.6,100,0,-1.116,5057
268,152104,红巧梅,,公斤,0.02,160,2.88,2.88,100,0,-0.262,5057
269,152105,苦丁茶,,公斤,0.3,110,33.44,33.44,100,0,-3.612,5057
270,152106,绞股兰,,公斤,0.51,140,71.96,71.96,100,0,-2.425,5057
271,152107,决明子,,公斤,1.79,16,28.64,28.61,100,0,-13.046,5057
272,152108,碧罗春,,公斤,0.2,120,23.52,23.52,100,0,-1.55,5057
273,152109,毛尖茶,,公斤,0.29,100,29.4,29.4,100,0,-2.238,5057
274,152110,普耳茶,,公斤,0.18,90,16.56,16.56,100,0,-2.494,5057
275,152111,人参乌龙茶,,公斤,0.15,140,21,21,100,0,-1.142,5057
276,152112,甜叶菊,,公斤,0.22,120,26.88,26.88,100,0,-1.259,5057
277,152113,罗汉果（潘）,,个,95,2,190,190,100,0,-720,5057
278,152115,嫩芽红茶,,公斤,0.07,80,5.28,5.28,100,0,-1.436,5057
279,152116,玉蝴蝶,,公斤,0.03,80,2.4,2.4,100,0,-1.038,5057
280,152117,玉美人,,公斤,0.12,160,19.2,19.2,100,0,-1.194,5057
281,152118,迷迭香,,公斤,0.34,140,48.16,48.16,100,0,-2.134,5057
282,152119,荷叶,,公斤,2.01,60,120.6,120.6,100,0,-8.128,5057
283,152120,特级枸杞,,公斤,7.06,90,635.4,635.4,100,0,-65.188,5057
284,152121,胖大海,,公斤,0.22,240,52.8,52.8,100,0,-50.444,5057
285,152190,冰梅脆皮鸭,,公斤,374.43,29.6,11082.76,11082.98,100,0,-9905.522,5063
286,152195,浙江不老神鸭,,公斤,2.11,27.6,58.34,58.35,100,0,-1255.931,5063
287,152202,卤鸭翅,,公斤,5.34,28,149.49,149.46,100,0,-691.904,5039
288,152213,脆皮梅子鸭,,公斤,317.52,29.6,9398.45,9398.47,100,0,-8596.382,5039
289,152227,白切土鸡,,公斤,1.16,50,58.1,58.1,100,0,-432.648,5039
290,152228,白切柠檬鸭,,公斤,108.33,27.6,2989.85,2989.85,100,0,-1538.006,5039
291,152229,手撕鸡,,公斤,212.61,29.6,6059.83,6059.91,100,0,-7855.202,5039
292,152275,蜜汁叉烧,,公斤,16.57,56,927.93,927.92,100,0,-1022.198,5039
293,152280,蜜汁烧腩],,公斤,0.17,45.6,7.66,7.66,100,0,-0.168,5039
294,152313,白切土鸡,,公斤,0.44,29.6,13.14,13.14,100,0,-73.674,5039
295,152365,香脆花生,,公斤,9.84,23,226.28,226.3,100,0,-413.678,5039
296,152385,红烧豆腐,,公斤,9.26,12,111.18,111.14,100,0,-1382.092,5039
297,152386,酒鬼花生,,公斤,3.18,28,89.12,89.12,100,0,-117.663,5039
298,152389,黄皮酱鸭,,公斤,1.27,23.6,30.07,30.07,100,0,-3215.22,5039
299,152390,烤香猪,,只,36,188,6768,6768,100,0,-55,5039
300,153003,糖麻花(麻条),,公斤,8.92,24,213.99,214.01,100,0,-66.823,5056
301,153006,肉松蛋糕,,个,187,2.5,467.5,467.5,100,0,-3941,5056
302,153008,小餐包1*3,,份,1,2,2,2,100,0,-8,5056
303,153010,兄弟荞麦馒头(甜)1*5,,袋,1,3,3,3,100,0,-7,5013
304,153011,兄弟全麦馒头(淡)1*4,,袋,378,3,1134,1134,100,0,-11786,5013
305,153013,兄弟老面馒头(淡)1*5,,袋,722,4,2888,2888,100,0,-19835,5013
306,153014,兄弟葱香花卷(咸)1*4,,袋,328,3.5,1149.5,1149.5,100,0,-15726,5013
307,153015,兄弟鲜肉包(咸)1*5,,袋,72,5,360,360,100,0,-2452,5013
308,153016,兄弟粉丝木耳包(咸)1*5,,袋,3,4,12,12,100,0,-3,5013
309,153019,兄弟芝麻花生包(甜)1*5,,袋,84,5,420,420,100,0,-2769,5013
310,153020,兄弟红豆沙包(甜)1*5,,袋,74,5,370,370,100,0,-2814,5013
311,153021,兄弟水晶肉包(甜)1*5,,袋,46,5,230,230,100,0,-1365,5013
312,153022,兄弟叉烧肉包(咸)1*5,,袋,39,5,195,195,100,0,-1084,5013
313,153023,欧式脆皮蛋糕,,公斤,25.63,16,410.07,410.08,100,0,-120.276,5026
314,153024,小月饼（T）,,公斤,4.05,20,81,81,100,0,-29.956,5026
315,153025,鸡仔饼（T）,,公斤,3.83,20,76.6,76.6,100,0,-29.494,5026
316,153027,香酥饼（T）,,公斤,1.98,20,39.64,39.64,100,0,-8.756,5026
317,153028,散装马拉糕,,公斤,48.14,7.6,365.92,365.89,100,0,-244.152,5026
318,153073,兄弟小方馒头(甜)1*6,,袋,551,3,1653,1653,100,0,-13672,5013
319,153074,兄弟大方馒头(甜)1*4,,袋,1,2.4,2.4,2.4,100,0,-6077,5013
320,153084,闽式小花片,,公斤,0.38,15,5.7,5.7,100,0,-1.192,5036
321,153093,现烤猪猪包,,公斤,56.12,17,954.21,954.07,100,0,-1182.506,5056
322,153102,戚风蛋糕,,公斤,70.24,20,1404.88,1404.88,100,0,-2322.494,5056
323,153103,肉松卷,,个,1499,2,2998,2998,100,0,-24970,5056
324,153104,菠萝包,,个,1329,1,1329,1329,100,0,-27300,5056
325,153105,吐司包,,个,2,2.2,4.4,4.4,100,0,-1139,5056
326,153106,麻辣花生,,公斤,0.64,20,12.84,12.84,100,0,-8.056,5056
327,153107,猪猪包,,个,154,3,462,462,100,0,-2955,5056
328,153109,台式菠萝包,,个,6,0.8,4.8,4.8,100,0,-2863,5056
329,153110,奶皇小餐包,,袋,137,3.5,479.5,479.5,100,0,-642,5056
330,153111,肉松包,,个,3,1.2,3.6,3.6,100,0,-9599,5056
331,153112,鸡蛋卷,,包,16,2.2,35.2,35.2,100,0,-193,5056
332,153113,绿豆饼,,盒,130,3.6,468,468,100,0,-203,5056
333,153114,脆皮蛋糕,,公斤,163.82,18,2948.64,2948.69,100,0,-2500.429,5056
334,153115,小餐包,,个,1120,0.8,896,896,100,0,-33782,5056
335,153127,芝麻糖/花生糖,,公斤,7.26,24,174.24,174.24,100,0,-84.194,5056
336,153129,大吐司（红豆/肉松）,,个,154,5.5,847,847,100,0,-1871,5056
337,153140,椰排包,,个,114,2.5,285,285,100,0,-2419,5056
338,153143,特价面包,,个,172,1.8,309.6,309.6,100,0,-15466,5056
339,153145,全麦法棒(咸),,条,131,2.5,327.5,327.5,100,0,-1185,5056
340,153146,排包,,个,117,3.5,409.5,409.5,100,0,-2531,5056
341,153148,黄金肉松包,,个,16,1.2,19.2,19.2,100,0,-3085,5056
342,153149,猫耳朵,,公斤,9.66,24,231.94,231.94,100,0,-132.582,5056
343,153151,甜方包,,个,203,2.5,507.5,507.5,100,0,-3623,5056
344,153152,咸方包,,个,146,2.5,365,365,100,0,-3351,5056
345,153153,脆面包,,袋,23,2,46,46,100,0,-639,5056
